,district,year,yield
789,kalumbila,2020,3.94497
790,kalumbila,2021,4.1668400000000005
791,kalumbila,2022,3.7119074074074074
792,kanchibiya,1999,4.251766666666667
793,kanchibiya,2000,4.17438
794,kanchibiya,2001,4.20925
795,kanchibiya,2002,4.2704
796,kanchibiya,2003,3.97863
797,kanchibiya,2004,4.29512
798,kanchibiya,2005,3.9482999999999997
799,kanchibiya,2006,3.92948
800,kanchibiya,2007,3.90079
801,kanchibiya,2008,4.03312
802,kanchibiya,2009,4.11243
803,kanchibiya,2010,3.95226
804,kanchibiya,2011,3.9771699999999996
805,kanchibiya,2012,3.99635
806,kanchibiya,2013,4.1717200000000005
807,kanchibiya,2014,3.98694
808,kanchibiya,2015,3.8853899999999997
809,kanchibiya,2016,3.9712
810,kanchibiya,2017,4.298109999999999
811,kanchibiya,2018,3.84362
812,kanchibiya,2019,3.7372300000000003
813,kanchibiya,2020,3.95294
814,kanchibiya,2021,4.19592
815,kanchibiya,2022,3.7043207547169814
816,kaoma,1999,4.30858
817,kaoma,2000,4.17561
818,kaoma,2001,4.16712
819,kaoma,2002,4.23956
820,kaoma,2003,3.95125
821,kaoma,2004,4.3498399999999995
822,kaoma,2005,3.9865399999999998
823,kaoma,2006,3.90286
824,kaoma,2007,3.8872199999999997
825,kaoma,2008,3.99679
826,kaoma,2009,4.08208
827,kaoma,2010,3.9261
828,kaoma,2011,4.02443
829,kaoma,2012,4.02599
830,kaoma,2013,4.16195
831,kaoma,2014,3.99709
832,kaoma,2015,3.89298
833,kaoma,2016,3.92185
834,kaoma,2017,4.24394
835,kaoma,2018,3.7696500000000004
836,kaoma,2019,3.75868
837,kaoma,2020,3.95482
838,kaoma,2021,4.21212
839,kaoma,2022,3.8506346153846156
840,kapirimposhi,1999,4.22014
841,kapirimposhi,2000,4.20925
842,kapirimposhi,2001,4.19585
843,kapirimposhi,2002,4.20504
844,kapirimposhi,2003,4.01604
845,kapirimposhi,2004,4.34257
846,kapirimposhi,2005,3.9742599999999997
847,kapirimposhi,2006,3.9605799999999998
848,kapirimposhi,2007,3.86156
849,kapirimposhi,2008,4.02068
850,kapirimposhi,2009,4.092169999999999
851,kapirimposhi,2010,3.9370100000000003
852,kapirimposhi,2011,3.9997
853,kapirimposhi,2012,4.0162
854,kapirimposhi,2013,4.12176
